stn_num,name,Lat,Lon
3057,CYGNET BAY,-16.4513,123.0087
6017,DAIRY CREEK,-25.2786,115.8633
10711,DALE BRIDGE,-32.0667,116.8167
9081,DALE ROAD,-32.2,116.3
7157,DALGARANGA,-27.7744,117.0156
7124,DALGETY DOWNS,-25.2806,116.2083
7211,DALGETY DOWNS AIRSTRIP,-25.2694,116.2211
10183,DALGOWRING NORTH,-30.3,118
8297,DALWALLINU,-30.2761,116.6714
8039,DALWALLINU COMPARISON,-30.2772,116.6619
8014,DALWALLINU NORTH,-30.2192,116.7783
9822,DALYUP PARK,-33.7753,121.555
8040,DAMBORING,-30.2167,116.7
3068,DAMPIER DOWNS,-18.5077,123.4561
3047,DAMPIER DOWNS,-18.4,123.1
3101,DAMPIER DOWNS AIRSTRIP,-18.5096,123.4676
4097,DAMPIER PORT,-20.6175,116.7517
5061,DAMPIER SALT,-20.7278,116.7483
10251,DANBERRIN,-31.2867,118.0592
10038,DANDANNING,-31.0064,118.1975
12096,DANDARAGA,-28.1419,119.3058
9055,DANDARAGAN,-30.6833,115.7
9014,DANDARAGAN WEST,-30.6969,115.5817
12197,DANIEL ROAD,-32.9833,120.25
12023,DANIELL,-32.5833,121.5833
12134,DARDA,-27.65,121.3667
9695,DARDANUP,-33.3978,115.7536
9527,DARDANUP EAST,-33.3969,115.7833
10542,DARKAN,-33.3369,116.7428
10804,DARKAN SABAH,-33.35,116.9
9528,DARRADUP,-34.0833,115.5833
8041,DARTMOOR,-27.9775,115.2103
8306,DARTMOOR SOUTH,-28.0636,115.1903
10543,DARTNALL,-34.0414,117.7428
12024,DAVEYHURST MULWARRIE,-30,120.6
7022,DAY DAWN,-27.4667,117.85
4012,DE GREY,-20.1756,119.1908
4098,DE GREY BOREFIELD,-20.2906,119.28
10305,DE-ERANNING,-30.7261,118.4219
11001,DEAKIN,-30.77,128.965
3090,DEBESA,-17.7981,124.0772
12204,DEDARI,-31.0931,120.6908
9529,DEEP RIVER,-35,116.65
8247,DEEPDALE,-28.8,114.6833
5042,DEEPDALE 1,-21.7,116.1
8195,DEEPDENE,-28.5,115.7
10733,DEEPLISH,-32.8,118.05
9530,DEESIDE,-34.3771,116.4145
9889,DEL PARK,-32.6544,116.0158
13035,DELITA STATION,-27.0336,122.4439
10544,DELLYANINE,-33.3956,117.0944
9752,DENBARKER,-34.7451,117.3403
6044,DENHAM,-25.9265,113.5325
9531,DENMARK,-34.9617,117.3567
9532,DENMARK AGRIC. SCHOOL,-34.9528,117.3733
9637,DENMARK RES.STN.,-34.9511,117.37
9696,DENNINUP DOWNS,-33.9,116.8
9697,DENNINUP VALE,-33.9,116.7
12025,DEPOT SPRINGS,-27.9331,120.0575
12214,DEPOT SPRINGS 2,-27.9642,120.2428
12277,DEPOT SPRINGS LANGFORD,-27.8417,120.22
12215,DEPOT SPRINGS TANK,-27.9897,119.93
11046,DERALINYA,-33.1,123.3
3084,DERBY (MANNING RD),-17.3436,123.6781
3032,DERBY AERO,-17.3706,123.6611
3075,DERBY MAIN ROADS,-17.3136,123.6497
3007,DERBY POST OFFICE,-17.3044,123.6292
12136,DESDEMONA,-29.1,121.25
10900,DESERT FRINGE,-32.9297,119.8367
12242,DIEMALS,-29.6694,119.3031
1027,DIGGERS REST,-15.6394,128.0803
2039,DIMOND GORGE,-17.6667,126.0333
8043,DINGLEY DELL,-29,116
9698,DINGUP,-34.2,116.2
9533,DINNINUP,-33.8394,116.56
5043,DIOMENOR,-21.9,115.2
12118,DIONITE KING,-28.6,121.05
6018,DIRK HARTOG ISLAND,-26.0333,113.2167
12054,DOBRA SCRITIA,-31.4161,119.0467
9950,DONALDI,-33.4714,116.0106
8044,DONGARA,-29.2528,114.9306
9699,DONNELLY PARK,-34.2,115.9833
9946,DONNELLY RIVER,-34.1833,116.1667
9947,DONNELLY RIVER,-34.1333,116.15
9534,DONNYBROOK,-33.5719,115.8247
9991,DONNYBROOK EAST,-33.5711,115.8383
109505,DONNYBROOK SOUTH,-33.5958,115.8186
10039,DOODARDING WELL,-31.0072,117.2042
10120,DOODENANNING,-31.9092,117.0986
10040,DOODLAKINE,-31.6089,117.8775
7023,DOOLGUNNA,-25.6864,119.2258
1025,DOONGAN,-15.3797,126.3114
10041,DOONGIN PEAK,-31.6192,117.4372
6019,DOORAWARRAH,-24.806,114.431
6096,DOORAWARRAH O.S.,-25.0167,114.2833
10734,DOREENUP,-33.8,117.25
